Date,Timestamp,Open,High,Low,Close,Volume
20040201,00:00:00,1.2468,1.24848,1.24662,1.24721,63709.4999352098
20040202,00:00:00,1.24704,1.24792,1.23882,1.2427,1347688.50200003
20040203,00:00:00,1.24272,1.25967,1.24124,1.25417,1353304.00211881
20040204,00:00:00,1.25392,1.25593,1.24919,1.25354,1355069.70237406
20040205,00:00:00,1.25325,1.26348,1.25157,1.25643,1354204.60202593
20040206,00:00:00,1.25654,1.27226,1.251,1.27,1287807.10187471
20040208,00:00:00,1.26038,1.26466,1.25963,1.26429,65311.9000914991
20040209,00:00:00,1.2645,1.27589,1.26441,1.26872,1365285.70188984
20040210,00:00:00,1.26875,1.27848,1.26649,1.26789,1369272.50192936
20040211,00:00:00,1.26783,1.2843,1.26482,1.2825,1363432.70185293
20040212,00:00:00,1.28227,1.28432,1.27873,1.28148,1359120.20149019
20040213,00:00:00,1.28112,1.28898,1.27135,1.27305,1299378.10175475
20040215,00:00:00,1.27428,1.27441,1.2721,1.27252,64801.099968791
20040216,00:00:00,1.27267,1.2787,1.27139,1.27589,1347337.40189059
20040217,00:00:00,1.27594,1.28751,1.27533,1.28558,1369595.7018978
20040218,00:00:00,1.28548,1.29247,1.26561,1.27246,1356747.10196997
20040219,00:00:00,1.27243,1.27643,1.26516,1.27492,1346864.40195937
20040220,00:00:00,1.27525,1.27579,1.24928,1.25319,1294776.10209791
20040222,00:00:00,1.25247,1.25294,1.25029,1.25063,66684.5000450015
20040223,00:00:00,1.25026,1.25932,1.24494,1.25651,1363891.50222643
20040224,00:00:00,1.25663,1.27115,1.25203,1.26713,1346989.00193457
20040225,00:00:00,1.2671,1.27039,1.24716,1.24955,1365991.30182852
20040226,00:00:00,1.24939,1.25129,1.23826,1.24409,1340622.40245946
20040227,00:00:00,1.24393,1.25049,1.23718,1.24887,1286226.30171153
20040229,00:00:00,1.2482,1.25315,1.24726,1.25297,63422.5000143349
20040301,00:00:00,1.253,1.25398,1.24215,1.24431,1350250.70219874
20040302,00:00:00,1.24432,1.24489,1.21938,1.21976,1360707.502363
20040303,00:00:00,1.2197,1.22158,1.20546,1.21874,1345327.30187936
20040304,00:00:00,1.21877,1.2238,1.21334,1.21984,1348739.00207327
20040305,00:00:00,1.21978,1.24275,1.21731,1.23642,1284502.70195805
20040307,00:00:00,1.23857,1.23865,1.23552,1.23609,63020.8999875188
20040308,00:00:00,1.23604,1.2423,1.23359,1.24182,1360754.00212288
20040309,00:00:00,1.24182,1.24573,1.22716,1.23138,1357455.90193307
20040310,00:00:00,1.23145,1.23282,1.21946,1.22271,1355033.00185511
20040311,00:00:00,1.22256,1.23831,1.2162,1.23448,1356225.80195937
20040312,00:00:00,1.23425,1.23519,1.21707,1.22145,1285258.20201929
20040314,00:00:00,1.21887,1.22171,1.21815,1.22099,62511.2000898421
20040315,00:00:00,1.22088,1.23154,1.22013,1.22645,1357185.80215915
20040316,00:00:00,1.22645,1.23695,1.22295,1.22545,1359962.30203393
20040317,00:00:00,1.22542,1.2287,1.2173,1.22215,1341499.90230888
20040318,00:00:00,1.2221,1.24315,1.22184,1.23819,1352578.00175512
20040319,00:00:00,1.23825,1.24058,1.2254,1.22829,1286930.9013
20040321,00:00:00,1.22754,1.2279,1.22657,1.2273,64255.1999547482
20040322,00:00:00,1.22733,1.23983,1.22189,1.23385,1362258.00220144
20040323,00:00:00,1.234,1.23678,1.22628,1.23379,1361544.00264569
20040324,00:00:00,1.2337,1.23653,1.21027,1.2133,1362608.80182987
20040325,00:00:00,1.21334,1.21987,1.20962,1.21324,1365256.60206605
20040326,00:00:00,1.21324,1.22083,1.20733,1.21272,1301405.00213429
20040328,00:00:00,1.21078,1.21403,1.21033,1.21146,65509.3000420034
20040329,00:00:00,1.21141,1.21668,1.20559,1.21558,1350203.30245487
20040330,00:00:00,1.21543,1.22263,1.21534,1.21774,1307247.70190437
20040331,00:00:00,1.2177,1.23203,1.21682,1.23016,1357457.80231132
20040401,00:00:00,1.22994,1.23862,1.22532,1.23526,1365750.1019159
20040402,00:00:00,1.23527,1.23677,1.20978,1.21305,1291025.20188883
20040404,00:00:00,1.21076,1.21187,1.20936,1.21021,96248.1000874341
20040405,00:00:00,1.2099,1.21263,1.19808,1.20074,1375911.20202143
20040406,00:00:00,1.20086,1.21419,1.19802,1.21197,1359877.40207887
20040407,00:00:00,1.21189,1.21966,1.20472,1.21656,1363471.20142835
20040408,00:00:00,1.2165,1.22166,1.20574,1.20738,1355090.40192707
20040409,00:00:00,1.20731,1.21104,1.20607,1.20858,1186229.60182507
20040411,00:00:00,1.20857,1.20922,1.20667,1.20683,81998.8000841439
20040412,00:00:00,1.20726,1.20956,1.2049,1.20731,1337788.50204028
20040413,00:00:00,1.2073,1.20808,1.19021,1.1924,1331098.20215271
20040414,00:00:00,1.19248,1.19739,1.18678,1.19383,1376461.40178767
20040415,00:00:00,1.19407,1.1992,1.1891,1.19727,1374690.80161352
20040416,00:00:00,1.19732,1.20442,1.1921,1.19886,1270148.50196519
20040418,00:00:00,1.19989,1.20261,1.1998,1.20123,94743.1999913454
20040419,00:00:00,1.20132,1.20756,1.19952,1.20022,1352479.90157804
20040420,00:00:00,1.20049,1.20089,1.18198,1.18271,1362834.6020661
20040421,00:00:00,1.18272,1.19111,1.17758,1.17937,1359517.10202238
20040422,00:00:00,1.17941,1.19401,1.17913,1.19227,1366570.90185484
20040423,00:00:00,1.19223,1.19262,1.17935,1.18415,1253972.00154291
20040425,00:00:00,1.18177,1.1821,1.17799,1.17893,96851.0001010299
20040426,00:00:00,1.17908,1.1884,1.17573,1.18606,1354695.40189752
20040427,00:00:00,1.18602,1.19456,1.18302,1.19238,1354666.10200153
20040428,00:00:00,1.19212,1.19496,1.182,1.18232,1359561.80187269
20040429,00:00:00,1.18257,1.19841,1.18027,1.19538,1374761.50207584
20040430,00:00:00,1.19547,1.20089,1.19185,1.1977,1259142.40189904
20040502,00:00:00,1.1977,1.2,1.19745,1.19837,96030.4001097381
20040503,00:00:00,1.19844,1.19934,1.19189,1.19336,1358936.40202761
20040504,00:00:00,1.19309,1.21173,1.19284,1.21049,1348087.90224046
20040505,00:00:00,1.21052,1.21786,1.20998,1.21584,1362100.60201947
20040506,00:00:00,1.21604,1.21734,1.20625,1.20685,1370209.20188287
20040507,00:00:00,1.20684,1.21313,1.1874,1.18782,1261179.20180383
20040509,00:00:00,1.18648,1.18936,1.1858,1.18602,98786.0999908447
20040510,00:00:00,1.18619,1.18785,1.18103,1.18631,1360349.301999
20040511,00:00:00,1.18658,1.18885,1.17869,1.18752,1354748.80217306
20040512,00:00:00,1.18752,1.19402,1.18322,1.19092,1374317.20152146
20040513,00:00:00,1.19081,1.19294,1.17708,1.18015,1374528.80224623
20040514,00:00:00,1.18023,1.19007,1.17806,1.18825,1271208.20171654
20040516,00:00:00,1.18832,1.18958,1.18758,1.18799,94551.2001887858
20040517,00:00:00,1.18838,1.2058,1.18782,1.20364,1358104.90194027
20040518,00:00:00,1.20349,1.20358,1.19272,1.19397,1370785.40217064
20040519,00:00:00,1.19429,1.20409,1.19381,1.19997,1365915.20194027
20040520,00:00:00,1.20001,1.20127,1.18942,1.19544,1371075.90189762
20040521,00:00:00,1.19542,1.20679,1.1953,1.19801,1268521.20221439
20040523,00:00:00,1.19817,1.20021,1.19782,1.19897,97363.5000425875
20040524,00:00:00,1.19899,1.20231,1.19324,1.19926,1366705.20234679
20040525,00:00:00,1.19924,1.21263,1.19888,1.21077,1366979.20196433
